thr,precision,recall,coverage,F1,alerts,Fbeta
0.005212987786714328,0.12568374832909227,0.6180554320834,0.621955650752959,0.2088891520716062,6637859,0.14950413723132583
0.005389205092248894,0.1256912545375615,0.6104544861879108,0.6142700532955542,0.20846086844549214,6555834,0.14942261984549615
0.005505698397841766,0.12570481984307516,0.6086135163487012,0.6123514883027128,0.20837189718954144,6535358,0.14941582897025035
0.005639405001907045,0.12568344621289612,0.5969550284776179,0.6007235377453957,0.20764841021042144,6411258,0.1492485755808957
0.005815382625008087,0.12570411216736285,0.5808685821642989,0.5844394409588702,0.20668098270042676,6237465,0.14906543392219193
0.005861386138613861,0.12571165037996387,0.5769421676178962,0.5804540803705952,0.20644120961785015,6194931,0.14902185861864625
0.006335403726708075,0.12571832265193406,0.5625374120631308,0.5659316040387686,0.20550866867187087,6039939,0.14883247036369227
0.00637198377108691,0.12573471567975672,0.5503588594728825,0.5536073819214884,0.20470306851247685,5908408,0.1486767407433973
0.006812870378098656,0.12575453549032822,0.5402464899335621,0.5433496743049465,0.20401904441103386,5798932,0.14854865808724674
0.006829797819892351,0.1257634057452068,0.5379580570026492,0.5410099357604923,0.20386695683044131,5773960,0.14852381255482566
0.007358872627298619,0.12578591109602272,0.5316876470553372,0.5346082851724422,0.2034418396730707,5705639,0.1484522340117989
0.007414489342925146,0.12581098387267595,0.5157115848490775,0.518441123779112,0.20227560197509023,5533094,0.14822371047901461
0.007590965064691889,0.12583223714121738,0.5033685673476403,0.505947307862406,0.20133474872899593,5399753,0.1480386114437834
0.0079668213038703,0.12582062331263302,0.4969285066586064,0.49952035875178963,0.2007994919318131,5331161,0.14791301020583672
0.007990267338880126,0.12581501164808423,0.48676131548222296,0.48932196211593093,0.19994857086341605,5222318,0.14772312769435314
0.008115690825229886,0.12586992692623683,0.47272697639409944,0.47500646517798917,0.1988052716101136,5069535,0.1475177607960654
0.008552810209068694,0.12587224402304026,0.4719609551410842,0.4742280202688015,0.19874033291535767,5061227,0.14750536473233758
0.008571193551040553,0.12588695521902596,0.4656460952177752,0.4678281499471542,0.19819270991978882,4992924,0.14739656557447475
0.008859874096525997,0.12589566537141972,0.4629850233214207,0.46512242610957444,0.19796134832485704,4964047,0.14735249707394407
0.008860109260932655,0.12587241972366425,0.43495042346010465,0.43703909839813504,0.1952426258172798,4664326,0.14672514846702697
